time_s,voltage_V
0.00000000,1.000000
0.00002000,1.000000
0.00004000,1.000000
0.00006000,1.000000
0.00008000,1.000000
0.00010000,1.000000
0.00012000,1.000000
0.00014000,1.000000
0.00016000,1.000000
0.00018000,1.000000
0.00020000,1.000000
0.00022000,1.000000
0.00024000,1.000000
0.00026000,1.000000
0.00028000,1.000000
0.00030000,1.000000
0.00032000,1.000000
0.00034000,1.000000
0.00036000,1.000000
0.00038000,1.000000
0.00040000,1.000000
0.00042000,1.000000
0.00044000,1.000000
0.00046000,1.000000
0.00048000,1.000000
0.00050000,1.000000
0.00052000,-1.000000
0.00054000,-1.000000
0.00056000,-1.000000
0.00058000,-1.000000
0.00060000,-1.000000
0.00062000,-1.000000
0.00064000,-1.000000
0.00066000,-1.000000
0.00068000,-1.000000
0.00070000,-1.000000
0.00072000,-1.000000
0.00074000,-1.000000
0.00076000,-1.000000
0.00078000,-1.000000
0.00080000,-1.000000
0.00082000,-1.000000
0.00084000,-1.000000
0.00086000,-1.000000
0.00088000,-1.000000
0.00090000,-1.000000
0.00092000,-1.000000
0.00094000,-1.000000
0.00096000,-1.000000
0.00098000,-1.000000
0.00100000,-1.000000
0.00102000,1.000000
0.00104000,1.000000
0.00106000,1.000000
0.00108000,1.000000
0.00110000,1.000000
0.00112000,1.000000
0.00114000,1.000000
0.00116000,1.000000
0.00118000,1.000000
0.00120000,1.000000
0.00122000,1.000000
0.00124000,1.000000
0.00126000,1.000000
0.00128000,1.000000
0.00130000,1.000000
0.00132000,1.000000
0.00134000,1.000000
0.00136000,1.000000
0.00138000,1.000000
0.00140000,1.000000
0.00142000,1.000000
0.00144000,1.000000
0.00146000,1.000000
0.00148000,1.000000
0.00150000,1.000000
0.00152000,-1.000000
0.00154000,-1.000000
0.00156000,-1.000000
0.00158000,-1.000000
0.00160000,-1.000000
0.00162000,-1.000000
0.00164000,-1.000000
0.00166000,-1.000000
0.00168000,-1.000000
0.00170000,-1.000000
0.00172000,-1.000000
0.00174000,-1.000000
0.00176000,-1.000000
0.00178000,-1.000000
0.00180000,-1.000000
0.00182000,-1.000000
0.00184000,-1.000000
0.00186000,-1.000000
0.00188000,-1.000000
0.00190000,-1.000000
0.00192000,-1.000000
0.00194000,-1.000000
0.00196000,-1.000000
0.00198000,-1.000000
0.00200000,-1.000000
0.00202000,1.000000
0.00204000,1.000000
0.00206000,1.000000
0.00208000,1.000000
0.00210000,1.000000
0.00212000,1.000000
0.00214000,1.000000
0.00216000,1.000000
0.00218000,1.000000
0.00220000,1.000000
0.00222000,1.000000
0.00224000,1.000000
0.00226000,1.000000
0.00228000,1.000000
0.00230000,1.000000
0.00232000,1.000000
0.00234000,1.000000
0.00236000,1.000000
0.00238000,1.000000
0.00240000,1.000000
0.00242000,1.000000
0.00244000,1.000000
0.00246000,1.000000
0.00248000,1.000000
0.00250000,1.000000
0.00252000,-1.000000
0.00254000,-1.000000
0.00256000,-1.000000
0.00258000,-1.000000
0.00260000,-1.000000
0.00262000,-1.000000
0.00264000,-1.000000
0.00266000,-1.000000
0.00268000,-1.000000
0.00270000,-1.000000
0.00272000,-1.000000
0.00274000,-1.000000
0.00276000,-1.000000
0.00278000,-1.000000
0.00280000,-1.000000
0.00282000,-1.000000
0.00284000,-1.000000
0.00286000,-1.000000
0.00288000,-1.000000
0.00290000,-1.000000
0.00292000,-1.000000
0.00294000,-1.000000
0.00296000,-1.000000
0.00298000,-1.000000
0.00300000,-1.000000
0.00302000,1.000000
0.00304000,1.000000
0.00306000,1.000000
0.00308000,1.000000
0.00310000,1.000000
0.00312000,1.000000
0.00314000,1.000000
0.00316000,1.000000
0.00318000,1.000000
0.00320000,1.000000
0.00322000,1.000000
0.00324000,1.000000
0.00326000,1.000000
0.00328000,1.000000
0.00330000,1.000000
0.00332000,1.000000
0.00334000,1.000000
0.00336000,1.000000
0.00338000,1.000000
0.00340000,1.000000
0.00342000,1.000000
0.00344000,1.000000
0.00346000,1.000000
0.00348000,1.000000
0.00350000,1.000000
0.00352000,-1.000000
0.00354000,-1.000000
0.00356000,-1.000000
0.00358000,-1.000000
0.00360000,-1.000000
0.00362000,-1.000000
0.00364000,-1.000000
0.00366000,-1.000000
0.00368000,-1.000000
0.00370000,-1.000000
0.00372000,-1.000000
0.00374000,-1.000000
0.00376000,-1.000000
0.00378000,-1.000000
0.00380000,-1.000000
