# S2 square-wave fixture: 1000 Hz, 50 kHz sample rate, 100 ms
# 5000 samples total
# Columns: time_s, voltage_V
#
# --- first 30 rows ---
        time_s     voltage_V
    0.00000000      1.000000
    0.00002000      1.000000
    0.00004000      1.000000
    0.00006000      1.000000
    0.00008000      1.000000
    0.00010000      1.000000
    0.00012000      1.000000
    0.00014000      1.000000
    0.00016000      1.000000
    0.00018000      1.000000
    0.00020000      1.000000
    0.00022000      1.000000
    0.00024000      1.000000
    0.00026000      1.000000
    0.00028000      1.000000
    0.00030000      1.000000
    0.00032000      1.000000
    0.00034000      1.000000
    0.00036000      1.000000
    0.00038000      1.000000
    0.00040000      1.000000
    0.00042000      1.000000
    0.00044000      1.000000
    0.00046000      1.000000
    0.00048000      1.000000
    0.00050000      1.000000
    0.00052000     -1.000000
    0.00054000     -1.000000
    0.00056000     -1.000000
    0.00058000     -1.000000
  ... (4970 more rows)
#
# --- first 10 non-zero one-sided spectrum bins ---
   freq_Hz       |X|/Xpk
    1000.0      1.000000
    3000.0      0.333207
    5000.0      0.199813
    7000.0      0.142680
    9000.0      0.111042
   11000.0      0.091082
   13000.0      0.077515
   15000.0      0.067905
   17000.0      0.060993
   19000.0      0.056087
#
# Peak: 1000.0 Hz,  amplitude (two-sided) = 1.2732 V
